SiteID,Date,SpeciesCode,Penetration,Altitude,Easting,Northing,card,m,y,catchname,catch,locality,time,org,map,fishmeth,effort,pass,abund,number,minl,maxl,nzreach,PointRegion,N,row
Wairoa River,2016-07-15,angdie,16,94,2695167,6461659,116338,7,2016,Wairoa River,85,Wairoa River tributary,,bml,S11,efp,,,,7,,,2007578,Auckland,52,188
Wairoa River,2016-07-15,galfas,16,94,2695167,6461659,116338,7,2016,Wairoa River,85,Wairoa River tributary,,bml,S11,efp,,,,1,,,2007578,Auckland,52,189
Hoteo River,2017-06-15,angdie,35,38,2649976,6541030,115565,6,2017,Hoteo River,457,Hoteo River,908,wild,Q09,fys,,,,3,,,2001167,Auckland,52,162
Hoteo River,2017-06-15,galmac,35,38,2649976,6541030,115565,6,2017,Hoteo River,457,Hoteo River,908,wild,Q09,tfu,,,,4,,,2001167,Auckland,52,163
Hoteo River,2017-06-15,gobiom,35,38,2649976,6541030,115565,6,2017,Hoteo River,457,Hoteo River,908,wild,Q09,tfu,,,,4,,,2001167,Auckland,52,164
Drury Creek,2018-01-15,angaus,,,2679913,6456104,115563,1,2018,Drury Creek,438,Drury Creek tributary,900,wild,R12,fys,,,,1087,,,,Auckland,52,56
Drury Creek,2018-01-15,angaus,,,2679913,6456104,115563,1,2018,Drury Creek,438,Drury Creek tributary,900,wild,R12,tfb,,,,128,,,,Auckland,52,57
Te Matuku Bay,2019-03-15,galarg,0,11,2700333,6484684,115994,3,2019,Te Matuku Bay,84.5,Unnamed stream,,wild,S11,sdn,,,,2,,,2005407,Auckland,52,1
Kaituna R,2010-03-15,angaus,16,21,2803210,6370355,31932,3,2010,Kaituna R,146.03,Waiari Stream,1300,bior,U14,etc,,1,,1,170,,4003416,Bay of Plenty,59,450
Kaituna R,2010-03-15,angdie,16,21,2803210,6370355,31932,3,2010,Kaituna R,146.03,Waiari Stream,1300,bior,U14,etc,,1,,2,200,230,4003416,Bay of Plenty,59,455
Kaituna R,2010-03-15,angdie,11,11,2804336,6374383,31934,3,2010,Kaituna R,146.03,Waiari Stream,1100,bior,U14,etc,,1,,1,280,,4002596,Bay of Plenty,59,465
Kaituna R,2010-03-15,anguil,16,21,2803351,6370664,31933,3,2010,Kaituna R,146.03,Waiari Stream,1200,bior,U14,etc,,1,,2,350,500,4002905,Bay of Plenty,59,457
Kaituna R,2010-03-15,galmac,11,11,2804336,6374383,31934,3,2010,Kaituna R,146.03,Waiari Stream,1100,bior,U14,etc,,1,a,114,72,120,4002596,Bay of Plenty,59,469
Kaituna R,2010-03-15,gobcot,11,11,2804336,6374383,31934,3,2010,Kaituna R,146.03,Waiari Stream,1100,bior,U14,etc,,1,,8,55,75,4002596,Bay of Plenty,59,468
