nzffd_spp_code,spp_code_2004
aldfor,Aldfor
ameneb,Ameneb
angaus,Angaus
angdie,Angdie
angrei,Angdie
anguil,Angdie
caraur,Caraur
chefos,Chefos
cteide,Cteide
cypcar,Cteide
galano,Galarg
galarg,Galarg
galaxi,Galarg
galbre,Galbre
galcob,Galcob
galdep,Galcob
galdiv,Galdiv
galeld,Galdiv
galfas,Galfas
galgol,Galmac
galgra,Galmac
galmac,Galmac
galmar,Galotago
galpau,Galpau
galpos,Galpos
galpro,Galpro
galpul,Galpro
galspd,Galpro
galspn,Galpro
galsps,Galpro
galspt,Galpro
galvul,Galvul
gamaff,Gamaff
geoaus,Geoaus
gobalp,Gobbas
gobbas,Gobbas
gobbre,Gobbre
gobcot,Gobcot
gobgob,Gobgob
gobhub,Gobhub
gobhut,Gobhut
gobiom,Gobhut
graham,Cteide
hypmol,Cteide
hyrmen,Cteide
leuidu,Cteide
marine,Cteide
mugcep,Mugcep
mugil,Cteide
neoapo,Neoapo
neobur,Neobur
neodiv,Neodiv
neohel,Neodiv
neorek,Neodiv
oncmyk,Oncmyk
oncner,Oncner
onctsh,Onctsh
parane,Cteide
parcur,Cteide
parmar,Cteide
perflu,Perflu
poelat,Poeret
poeret,Poeret
prooxy,Cteide
retret,Retret
rhombo,Rhoret
rhoret,Rhoret
salfon,Salfon
salmo,Salfon
salsal,Saltru
saltru,Saltru
scaery,Scaery
stoani,Stoani
tintin,Tintin
