spcode,native,benthic_riffle,benthic_pool,pelagic_pool,intolerant,non_native
aldfor,1,0,0,1,0,0
angaus,1,0,1,0,0,0
angdie,1,1,1,0,0,0
chefos,1,1,0,0,0,0
galarg,1,0,0,1,1,0
galbre,1,1,1,0,1,0
galdiv,1,1,0,0,1,0
galfas,1,0,1,1,1,0
galmac,1,0,0,1,0,0
galspp,1,1,0,0,1,0
galpau,1,1,0,0,1,0
galpos,1,0,1,1,1,0
galpro,1,1,0,0,1,0
galvul,1,1,0,0,1,0
geoaus,1,0,1,0,0,0
gobbas,1,0,1,0,0,0
gobbre,1,0,1,0,0,0
gobcot,1,0,1,0,0,0
gobgob,1,0,1,0,1,0
gobhub,1,1,0,0,1,0
gobhut,1,1,0,0,1,0
mugcep,1,0,0,1,0,0
neoapo,1,0,1,0,1,0
neobur,1,0,1,0,1,0
neodiv,1,0,1,0,1,0
retret,1,0,0,1,0,0
rhoret,1,0,1,0,1,0
stoani,1,0,0,1,0,0
ameneb,0,0,0,0,0,1
caraur,0,0,0,0,0,1
cteide,0,0,0,0,0,1
gamaff,0,0,0,0,0,1
oncmyk,0,0,0,0,0,1
oncner,0,0,0,0,0,1
onctsh,0,0,0,0,0,1
perflu,0,0,0,0,0,1
poeret,0,0,0,0,0,1
salfon,0,0,0,0,0,1
saltru,0,0,0,0,0,1
scaery,0,0,0,0,0,1
tintin,0,0,0,0,0,1
