Stratum,Penetration,Altitude,SpeciesCode,North,East
14057270,130,706,galeld,5491648,2264613
3008096,14,44,angdie,6428291,2661857
3012906,84,12,galmac,6403000,2697900
3013781,114,61,scaery,6398753,2719639
1015696,124,91,neodiv,6619783,2621448
12000686,0,2,galbre,6022900,2435000
3013117,82,45,anguil,6402400,2690300
4008077,60,288,galbre,6347249,2796229
6007610,126,260,angaus,6209000,2625300
12048460,10,18,anguil,5714685,2220532
13064057,14,25,parane,5664526,2370181
15049604,48,65,saltru,5445771,2120767
2004284,0,5,gobcot,6498538,2666726
7000079,322,510,angdie,6296100,2730100
14018058,247,590,oncmyk,5592180,2266345
2005141,1,41,angdie,6488229,2663387
15011478,191,316,angdie,5551402,2112884
12049025,8,30,parcur,5711955,2212490
3003018,3,40,gobhut,6462800,2761000
1020129,51,30,parane,6598700,2588000
13040182,11,18,gobbre,5761300,2477100
13522369,48,150,gobbre,5596400,2323100
5008430,82,120,chefos,6304200,2928200
13045426,77,345,onctsh,5744608,2399272
12012977,15,75,angdie,5926978,2389933
4000214,0,0,galfas,6406300,2773000
3032654,222,190,scaery,6313500,2754100
2001738,4,20,parcur,6532000,2659200
14012266,283,934,saltru,5610157,2222116
4007603,30,99,gobhub,6350732,2926496
9005733,103,190,angdie,6027400,2719300
9007651,9,170,anguil,6017817,2674324
7026110,50,15,angdie,6157700,2696200
5012471,21,55,gobcot,6279414,2951966
1027300,1,20,galfas,6540769,2615515
4008077,60,288,galbre,6347236,2796227
3011240,40,5,gobcot,6412000,2734010
3017264,120,208,saltru,6379697,2762794
2004196,0,0,galmac,6499800,2666800
10000152,2,40,angdie,6071700,2475900
15057935,36,65,saltru,5421669,2177653
13037182,120,740,saltru,5771616,2405171
0,11,10,gamaff,6352400,2838400
10002957,8,30,gobbre,6035900,2492100
15056506,22,18,gobhub,5427600,2131300
11001976,2,1,parcur,6044200,2578710
7019468,184,520,parane,6186000,2759400
3009897,72,110,angdie,6419800,2760300
3038819,89,125,angdie,6294900,2685400
3013838,86,9,gamaff,6398163,2701175
3013157,83,11,scaery,6401502,2698810
2000661,5,5,anguil,6549400,2728500
14045206,21,30,gobbre,5530400,2326900
3017058,113,18,parane,6380720,2709994
13008966,17,180,galvul,5868900,2547000
13043286,18,5,galmac,5751800,2481800
8008466,31,280,angdie,6245700,2926300
10002296,2,129,galbre,6040949,2506200
14029990,220,270,oncmyk,5564300,2197800
13031694,7,25,saltru,5788500,2491800
2004626,3,40,parcur,6493600,2659200
14018650,262,661,galspd,5590608,2238502
2007203,12,50,gobbas,6465200,2699800
13511320,146,460,angdie,5658500,2297500
3006536,63,20,nospec,6435738,2705139
13037805,12,45,gobcot,5769400,2475600
10012654,1,5,parane,5986732,2528028
10000525,2,10,parcur,6059774,2479667
13050803,24,1,gobcot,5725328,2467887
4019911,119,521,angdie,6310803,2908889
9017197,9,25,hyrmen,5971000,2726200
9002739,11,120,galfas,6038600,2693000
4009943,21,10,gobhub,6342920,2860123
14012955,263,862,saltru,5605744,2265194
3015706,105,39,angaus,6387698,2706406
13063691,1,2,gobhub,5668000,2390000
4001622,9,60,galfas,6380700,2780000
12034488,22,140,galarg,5820126,2359061
3043722,362,357,ameneb,6253600,2767500
15056802,2,49,angdie,5426800,2049900
NA,NA,NA,angaus,6069753,2478448
13509813,176,530,galvul,5668754,2260002
1012654,0,1,parcur,6633200,2643300
3015147,69,18,retret,6391100,2734800
3034764,3,40,parcur,6307100,2656300
3001118,0,12,galfas,6488477,2755596
7048886,195,430,angdie,6050800,2728000
13508587,166,600,galmar,5676600,2295700
3020360,146,20,angaus,6364200,2728900
14029391,28,103,saltru,5564071,2332235
3011033,NA,10,galmac,6414486,2664283
0,14,120,parane,5933153,2397616
10011749,2,18,gobcot,5990041,2530522
14010982,289,596,nospec,5614538,2219633
10001109,3,30,galfas,6050800,2453500
14050819,260,580,saltru,5513240,2254919
10011037,7,40,saltru,5992500,2538000
0,16,35,angaus,5563500,2338300
13025331,44,130,saltru,5807791,2503995
14055994,163,410,galspd,5495700,2207630
NA,NA,NA,neobur,5708363,2401335
13069129,25,106,angaus,5599464,2347840
8026084,20,8,gobcot,6163117,2841599
6005196,17,400,saltru,6222300,2595300
15057285,0,26,galaxi,5424700,2052300
13524507,2,0,oncmyk,5584500,2363800
9008271,7,70,anguil,6015400,2672400
2001028,0,10,angaus,6544100,2672800
14032972,7,10,parane,5558334,2342172
10011571,4,30,galfas,5990800,2533300
2005675,0,0,parcur,6480700,2663200
14028492,21,58,galvul,5567526,2336695
3008313,52,13,retret,6427471,2698029
3007396,44,16,gobcot,6431578,2694009
15065035,0,75,angdie,5376800,2114300
13501849,224,788,nospec,5724922,2309022
3014458,94,18,angdie,6394500,2700400
12049688,4,20,parcur,5707700,2201300
5012408,5,25,anguil,6279100,2960400
9010660,13,85,gobcot,6003534,2676147
3024626,189,285,gobbas,6342300,2768500
14035265,185,370,saltru,5551000,2278400
6009710,23,265,angdie,6196960,2611368
14037559,7,36,chefos,5547808,2336993
3032119,278,290,oncmyk,6314900,2791400
NA,NA,NA,anguil,5781392,2310750
13038679,96,640,galvul,5765846,2409836
13030122,24,95,galvul,5793800,2483100
1006231,20,45,anguil,6665000,2573000
2009425,0,5,gobhut,6444400,2665900
13511111,148,520,galvul,5660930,2273670
13050651,27,1,gobbre,5727298,2468643
5000651,11,60,galarg,6378800,2975100
10001091,1,15,angdie,6050830,2484643
14052274,119,854,galeld,5508757,2267965
13065059,1,2,nospec,5655548,2376343
12027866,53,249,gobiom,5861449,2399987
13518381,143,493,saltru,5623932,2259737
14011639,343,430,saltru,5612000,2140300
13503967,210,834,galbre,5706556,2301254
14064481,23,70,saltru,5465400,2280400
NA,NA,NA,galmac,6079214,2703195
12005981,17,85,angdie,5963545,2432460
7009610,299,731,angdie,6228910,2723235
13043639,126,1065,galpau,5750866,2338201
14030935,171,640,saltru,5562260,2303077
14046271,204,770,galspd,5527474,2235478
14028492,21,58,galaxi,5567526,2336695
1009347,24,235,retret,6648800,2581100
12024814,59,115,anguil,5876700,2403100
13042824,8,6,nospec,5752832,2481277
10022270,90,400,galspn,5952700,2502800
2005795,2,20,galfas,6478200,2662100
3006967,20,20,angdie,6434100,2747100
12031485,2,10,angaus,5844000,2354600
3009321,73,120,galfas,6421800,2756100
3001004,1,28,gobhut,6490191,2742665
3032527,218,172,angaus,6311741,2753045
13011500,79,490,anguil,5857478,2525571
3014476,93,16,nospec,6394887,2706247
13011500,79,490,galvul,5857478,2525571
12030280,49,85,gobcot,5842400,2385100
2005635,6,30,angdie,6480800,2650400
12019415,143,340,saltru,5901800,2448100
12032450,11,100,angdie,5834200,2356700
3017058,113,19,hyrmen,6380470,2710130
9005874,18,150,galfas,6026200,2680900
6003738,22,173,angdie,6229100,2608900
13043644,90,360,gobbre,5750800,2416600
13523560,63,275,gobbre,5588362,2314742
3024594,190,160,parane,6341800,2691000
10006439,12,160,parane,6015210,2501082
13051457,0,5,gobhub,5724000,2501500
13052146,76,535,saltru,5720791,2361174
13009117,174,695,gobbre,5868300,2507100
9005308,16,140,galbre,6027900,2685200
14033856,26,220,parcur,5556400,2330200
